id,double_damage_from,half_damage_from,no_damage_from,double_damage_to,half_damage_to,no_damage_to
1,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
2,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
3,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
4,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
5,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
6,"electric,rock,water","bug,fairy,fighting,fire,grass,steel",ground,"bug,fighting,grass,ice,steel","dragon,electric,fire,rock,steel,water",
7,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
8,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
9,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
10,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
11,"fire,flying,rock","fighting,grass,ground",,"dark,grass,psychic","fairy,fighting,fire,flying,ghost,poison,steel",
12,"electric,fire,flying,ice,rock","bug,fighting,grass",ground,"bug,dark,fighting,grass,psychic","electric,fairy,fighting,fire,flying,ghost,poison,rock,steel",
13,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
14,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
15,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
16,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
17,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
18,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
19,fighting,,ghost,,"rock,steel",ghost
20,fighting,,ghost,,"rock,steel",ghost
21,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
22,"electric,ice,rock","bug,grass","ghost,ground","bug,fighting,grass","electric,rock,steel",ghost
23,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
24,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
25,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
26,ground,"electric,flying,steel",,"flying,water","dragon,electric,grass",ground
27,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
28,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
29,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
30,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
31,"ground,ice,psychic,water","bug,fairy,fighting,poison,rock",electric,"electric,fairy,fire,grass,poison,rock,steel","bug,ghost,grass,ground,poison,rock","flying,steel"
32,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
33,"ground,psychic","bug,fairy,fighting,grass,poison",,"fairy,grass","ghost,ground,poison,rock",steel
34,"ground,ice,psychic,water","bug,fairy,fighting,poison,rock",electric,"electric,fairy,fire,grass,poison,rock,steel","bug,ghost,grass,ground,poison,rock","flying,steel"
35,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
36,"poison,steel","bug,dark,fighting",dragon,"dark,dragon,fighting","fire,poison,steel",
37,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
38,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
39,"poison,steel","bug,dark","dragon,ghost","dark,dragon,fighting","fire,poison,rock,steel",ghost
40,"poison,steel","bug,dark","dragon,ghost","dark,dragon,fighting","fire,poison,rock,steel",ghost
41,"electric,ice,psychic,rock","bug,fairy,fighting,grass,poison",ground,"bug,fairy,fighting,grass","electric,ghost,ground,poison,rock,steel",steel
42,"electric,ice,psychic,rock","bug,fairy,fighting,grass,poison",ground,"bug,fairy,fighting,grass","electric,ghost,ground,poison,rock,steel",steel
43,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
44,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
45,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
46,"bug,fire,flying,ice,poison,rock","electric,fighting,grass,ground,water",,"dark,grass,ground,psychic,rock,water","bug,dragon,fairy,fighting,fire,flying,ghost,grass,poison,steel",
47,"bug,fire,flying,ice,poison,rock","electric,fighting,grass,ground,water",,"dark,grass,ground,psychic,rock,water","bug,dragon,fairy,fighting,fire,flying,ghost,grass,poison,steel",
48,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
49,"fire,flying,psychic,rock","bug,fairy,fighting,grass,poison",,"dark,fairy,grass,psychic","fairy,fighting,fire,flying,ghost,ground,poison,rock,steel",steel
50,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
51,"grass,ice,water","poison,rock",electric,"electric,fire,poison,rock,steel","bug,grass",flying
52,fighting,,ghost,,"rock,steel",ghost
53,fighting,,ghost,,"rock,steel",ghost
54,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
55,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
56,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
57,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
58,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
59,"ground,rock,water","bug,fairy,fire,grass,ice,steel",,"bug,grass,ice,steel","dragon,fire,rock,water",
60,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
61,"electric,grass","fire,ice,steel,water",,"fire,ground,rock","dragon,grass,water",
62,"electric,fairy,flying,grass,psychic","bug,dark,fire,ice,rock,steel,water",,"dark,fire,ground,ice,normal,rock,steel","bug,dragon,fairy,flying,grass,poison,psychic,water",ghost
63,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
64,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
65,"bug,dark,ghost","fighting,psychic",,"fighting,poison","psychic,steel",dark
66,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
67,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
68,"fairy,flying,psychic","bug,dark,rock",,"dark,ice,normal,rock,steel","bug,fairy,flying,poison,psychic",ghost
69,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
70,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
71,"fire,flying,ice,psychic","electric,fairy,fighting,grass,water",,"fairy,grass,ground,rock,water","bug,dragon,fire,flying,ghost,grass,ground,poison,rock,steel",steel
72,"electric,ground,psychic","bug,fairy,fighting,fire,ice,poison,steel,water",,"fairy,fire,grass,ground,rock","dragon,ghost,grass,ground,poison,rock,water",steel
73,"electric,ground,psychic","bug,fairy,fighting,fire,ice,poison,steel,water",,"fairy,fire,grass,ground,rock","dragon,ghost,grass,ground,poison,rock,water",steel
