id,name,species,generation,official_artwork_url,sprite_url,icon_url,primary_type,secondary_type,height_m,weight_kg,hp,attack,defense,special_attack,special_defense,speed,base_stat_total,flavor_text,previous_evolution_id,next_evolution_id,evolution_conditions,is_legendary,is_mythical
1,bulbasaur,Seed Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/1.png,grass,poison,0.7,6.9,45,49,49,65,65,45,318,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,,2,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
2,ivysaur,Seed Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/2.png,grass,poison,1.0,13.0,60,62,63,80,80,60,405,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",1,3,level-up&level:32&needs_overworld_rain:true&turn_upside_down:true,0,0
3,venusaur,Seed Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/3.png,grass,poison,2.0,100.0,80,82,83,100,100,80,525,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,2,,,0,0
4,charmander,Lizard Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/4.png,fire,,0.6,8.5,39,52,43,60,50,65,309,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",,5,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
5,charmeleon,Flame Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/5.png,fire,,1.1,19.0,58,64,58,80,65,80,405,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",4,6,level-up&level:36&needs_overworld_rain:true&turn_upside_down:true,0,0
6,charizard,Flame Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/6.png,fire,flying,1.7,90.5,78,84,78,109,85,100,534,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,5,,,0,0
7,squirtle,Tiny Turtle Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/7.png,water,,0.5,9.0,44,48,65,50,64,43,314,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",,8,level-up&level:16&needs_overworld_rain:true&turn_upside_down:true,0,0
8,wartortle,Turtle Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/8.png,water,,1.0,22.5,59,63,80,65,80,58,405,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",7,9,level-up&level:36&needs_overworld_rain:true&turn_upside_down:true,0,0
9,blastoise,Shellfish Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/9.png,water,,1.6,85.5,79,83,100,85,105,78,530,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,8,,,0,0
10,caterpie,Worm Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/10.png,bug,,0.3,2.9,45,30,35,20,20,45,195,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,,11,level-up&level:7&needs_overworld_rain:true&turn_upside_down:true,0,0
11,metapod,Cocoon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/11.png,bug,,0.7,9.9,50,20,55,25,25,30,205,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",10,12,level-up&level:10&needs_overworld_rain:true&turn_upside_down:true,0,0
12,butterfree,Butterfly Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/12.png,bug,flying,1.1,32.0,60,45,50,90,80,70,395,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",11,,,0,0
13,weedle,Hairy Bug Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/13.png,bug,poison,0.3,3.2,40,35,30,20,20,50,195,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",,14,level-up&level:7&needs_overworld_rain:true&turn_upside_down:true,0,0
14,kakuna,Cocoon Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/14.png,bug,poison,0.6,10.0,45,25,50,25,25,35,205,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.",13,15,level-up&level:10&needs_overworld_rain:true&turn_upside_down:true,0,0
15,beedrill,Poison Bee Pokémon,1,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/versions/generation-viii/icons/15.png,bug,poison,1.0,29.5,65,90,40,45,80,75,395,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.,14,,,0,0
